experiment_family,experiment_name,crop,horizon_days,validation_rows,validation_start,validation_end,mae,rmse,r2,mape_pct,wape_pct,threshold_km,train_rows
graph_model,graph_histgb_augmented,onion,15,4974,2025-10-03,2025-12-31,502.74885593751196,629.59225614785,0.6179943686436533,16.944894339799852,17.58231661259153,75.0,2000
graph_model,graph_histgb_augmented,onion,15,4974,2025-10-03,2025-12-31,521.3750694374191,657.4314975417434,0.5834644965956733,17.288040110010304,18.23371935410229,150.0,2000
graph_model,graph_histgb_augmented,onion,15,4974,2025-10-03,2025-12-31,511.8180647961303,642.835267233075,0.601754937691722,17.071906762169696,17.89948829721047,300.0,2000
graph_model,graph_histgb_augmented,potato,15,2307,2025-09-02,2025-11-30,249.78158848891715,398.99085302649934,0.9200801597475178,9.547994493834997,9.586668803260954,75.0,2000
graph_model,graph_histgb_augmented,potato,15,2307,2025-09-02,2025-11-30,254.68875532753577,404.5343271817233,0.9178439617916573,9.75295103546096,9.775006877050846,150.0,2000
graph_model,graph_histgb_augmented,potato,15,2307,2025-09-02,2025-11-30,254.1818697192484,403.247403888889,0.9183658475150642,9.734486845585048,9.755552503022768,300.0,2000
graph_model,graph_histgb_augmented,tomato,15,24442,2025-10-03,2025-12-31,901.6176351573603,1280.3909738515974,0.218485747095978,25.09993579510803,27.089711406904303,75.0,2000
graph_model,graph_histgb_augmented,tomato,15,24442,2025-10-03,2025-12-31,875.6572748800136,1243.0797010953802,0.26336958870807603,24.552217684970277,26.309714831294016,150.0,2000
graph_model,graph_histgb_augmented,tomato,15,24442,2025-10-03,2025-12-31,889.85606527014,1260.0997916356127,0.24305979307720038,25.055204265156927,26.736327087972562,300.0,2000
graph_model,graph_histgb_augmented,wheat,15,288,2025-09-02,2025-11-30,50.83458040456705,72.14824532503857,0.5952225357680665,2.0422620306212016,2.008548291628828,75.0,2000
graph_model,graph_histgb_augmented,wheat,15,288,2025-09-02,2025-11-30,52.07631655420047,74.17000935925242,0.5722190443458479,2.0868257704024855,2.0576110949833706,150.0,2000
graph_model,graph_histgb_augmented,wheat,15,288,2025-09-02,2025-11-30,47.35611932206648,69.85669491434818,0.6205270292003244,1.8988204729232734,1.8711092292986078,300.0,2000
