crop,threshold_km,mean_neighbors,median_neighbors,max_neighbors,min_neighbors
onion,75.0,13.602094240837696,11.0,39,0
onion,150.0,41.06020942408377,41.0,110,0
onion,300.0,112.25916230366492,126.0,200,0
potato,75.0,12.201963534361852,9.0,38,0
potato,150.0,37.70827489481066,31.0,102,0
potato,300.0,100.83309957924264,87.0,220,2
tomato,75.0,11.434343434343434,9.0,37,0
tomato,150.0,35.093795093795094,33.0,94,1
tomato,300.0,96.30880230880231,105.0,200,8
wheat,75.0,9.04,8.0,33,0
wheat,150.0,35.04421052631579,36.0,71,0
wheat,300.0,111.04842105263158,124.0,203,1
