experiment_family,experiment_name,crop,horizon_days,validation_rows,validation_start,validation_end,mae,rmse,r2,mape_pct,wape_pct,display_name,graph_bucket,source_file,train_rows,target_mode,normalization_mode,feature_count,candidate_index,params_json,artifact_path,device,train_windows,validation_windows,target_encoding
baseline,current_price,onion,1,8678,2025-10-03,2025-12-31,100.50790726016088,214.4384188162546,0.9534936294855996,3.9697313288031575,3.761812624226144,current_price,non_graph,baseline_metrics/baseline_metrics.csv,,,,,,,,,,,
baseline,current_price,onion,1,8678,2025-10-03,2025-12-31,100.50790726016088,214.4384188162546,0.9534936294855996,3.9697313288031575,3.761812624226144,current_price,non_graph,baseline_metrics/baseline_metrics.csv,,,,,,,,,,,
focused_temporal,tcn_tuned,onion,1,8678,2025-10-03,2025-12-31,142.3452606201172,224.51088329689057,0.9490220546722412,5.807985305786133,5.327702522277832,tcn_tuned,non_graph,expanded_model_metrics/expanded_model_metrics.csv,,,,,2.0,"{""batch_size"": 128, ""dropout"": 0.2, ""epochs"": 10, ""hidden_channels"": 48, ""kernel_size"": 3, ""learning_rate"": 0.0007, ""weight_decay"": 1e-05, ""window_size"": 28}",artifacts/tcn/onion/onion_tcn_1d.pt,cpu,15000.0,8678.0,log_delta_current
tabular_variant,histgb_delta_current_mean_center,onion,1,8678,2025-10-03,2025-12-31,138.62519499609778,227.94007550999356,0.9474529148242052,5.6015396445995735,5.188467482685668,histgb_delta_current_mean_center,non_graph,anchored_histgb_metrics/anchored_histgb_metrics.csv,10000.0,delta_current,series_mean_center,,,,,,,,
focused_tabular,lightgbm_tuned,onion,1,8678,2025-10-03,2025-12-31,148.60092777226168,228.52571034834511,0.9471825548540764,6.170907382817746,5.561839474166329,lightgbm_tuned,non_graph,expanded_model_metrics/expanded_model_metrics.csv,20000.0,,,33.0,2.0,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.04, ""max_depth"": 8, ""min_child_samples"": 30, ""n_estimators"": 350, ""num_leaves"": 47, ""subsample"": 0.85}",artifacts/lightgbm/onion/onion_lightgbm_1d.joblib,,,,
tabular_variant,histgb_cross_crop_delta_current_mean_center,onion,1,8678,2025-10-03,2025-12-31,141.2481374127977,229.63289610334095,0.9466695238715154,5.640987886586359,5.286639041170312,histgb_cross_crop_delta_current_mean_center,non_graph,cross_crop_histgb_metrics/cross_crop_histgb_metrics.csv,10000.0,delta_current,series_mean_center,,,,,,,,
classical_ml,linear_regression,onion,1,8678,2025-10-03,2025-12-31,160.1268042916517,235.4325623097924,0.9439416496716544,6.681546554380327,5.99323028686808,linear_regression,non_graph,classical_ml_metrics/classical_ml_metrics.csv,20000.0,,,33.0,,,,,,,
classical_ml,ridge_alpha_10,onion,1,8678,2025-10-03,2025-12-31,161.29653425555745,236.22640019957197,0.9435629742043422,6.753228053095454,6.037010971046155,ridge_alpha_10,non_graph,classical_ml_metrics/classical_ml_metrics.csv,20000.0,,,33.0,,,,,,,
focused_tabular,extratrees_tuned,onion,1,8678,2025-10-03,2025-12-31,166.00096871624305,240.7668574066082,0.9413725961380892,7.698133974471569,6.213088669074859,extratrees_tuned,non_graph,expanded_model_metrics/expanded_model_metrics.csv,20000.0,,,33.0,1.0,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}",artifacts/extratrees/onion/onion_extratrees_1d.joblib,,,,
focused_tabular,xgboost_tuned,onion,1,8678,2025-10-03,2025-12-31,159.4742604881571,241.299371792806,0.9411129718562894,6.689556792384012,5.968806860047617,xgboost_tuned,non_graph,expanded_model_metrics/expanded_model_metrics.csv,20000.0,,,33.0,2.0,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.04, ""max_depth"": 6, ""min_child_weight"": 6, ""n_estimators"": 350, ""subsample"": 0.9}",artifacts/xgboost/onion/onion_xgboost_1d.joblib,,,,
classical_ml,elasticnet_a001_l05,onion,1,8678,2025-10-03,2025-12-31,170.21893613059987,242.90100801047348,0.9403286464891352,7.307731524306739,6.370958865564279,elasticnet_a001_l05,non_graph,classical_ml_metrics/classical_ml_metrics.csv,20000.0,,,33.0,,,,,,,
simple_model,numeric_histgb_simple,onion,1,8678,2025-10-03,2025-12-31,165.5447386830132,245.10640030393455,0.9392401688230636,6.781568233412082,6.196012879265479,numeric_histgb_simple,non_graph,simple_numeric_metrics/simple_numeric_metrics.csv,20000.0,,,,,,,,,,
baseline,previous_day_price,onion,1,8678,2025-10-03,2025-12-31,152.30108213895642,284.6825741498773,0.9180348905627916,6.184554978197416,5.700328950145451,previous_day_price,non_graph,baseline_metrics/baseline_metrics.csv,,,,,,,,,,,
baseline,previous_day_price,onion,1,8678,2025-10-03,2025-12-31,152.30108213895642,284.6825741498773,0.9180348905627916,6.184554978197416,5.700328950145451,previous_day_price,non_graph,baseline_metrics/baseline_metrics.csv,,,,,,,,,,,
baseline,roll_mean_7,onion,1,8678,2025-10-03,2025-12-31,252.63602596248083,363.1752571868298,0.8666049358270834,10.905424582770372,9.455667894268151,roll_mean_7,non_graph,baseline_metrics/baseline_metrics.csv,,,,,,,,,,,
baseline,roll_mean_7,onion,1,8678,2025-10-03,2025-12-31,252.63602596248083,363.1752571868298,0.8666049358270834,10.905424582770372,9.455667894268151,roll_mean_7,non_graph,baseline_metrics/baseline_metrics.csv,,,,,,,,,,,
baseline,roll_mean_28,onion,1,8678,2025-10-03,2025-12-31,432.81262186877944,516.0222325631546,0.7306952078267028,20.363397908459493,16.19932231457134,roll_mean_28,non_graph,baseline_metrics/baseline_metrics.csv,,,,,,,,,,,
baseline,roll_mean_28,onion,1,8678,2025-10-03,2025-12-31,432.81262186877944,516.0222325631546,0.7306952078267028,20.363397908459493,16.19932231457134,roll_mean_28,non_graph,baseline_metrics/baseline_metrics.csv,,,,,,,,,,,
classical_ml,elasticnet_a001_l05,potato,1,4113,2025-09-02,2025-11-30,127.44339585176444,248.3241144497525,0.970455609977973,4.529370153131881,4.854419043916258,elasticnet_a001_l05,non_graph,classical_ml_metrics/classical_ml_metrics.csv,20000.0,,,33.0,,,,,,,
classical_ml,ridge_alpha_10,potato,1,4113,2025-09-02,2025-11-30,126.4818269930535,249.39032781469905,0.9702013596030012,4.536483058100375,4.817792130857597,ridge_alpha_10,non_graph,classical_ml_metrics/classical_ml_metrics.csv,20000.0,,,33.0,,,,,,,
classical_ml,linear_regression,potato,1,4113,2025-09-02,2025-11-30,126.83619327564456,249.66190766916455,0.9701364243116186,4.548035599021122,4.831290220885993,linear_regression,non_graph,classical_ml_metrics/classical_ml_metrics.csv,20000.0,,,33.0,,,,,,,
focused_tabular,extratrees_tuned,potato,1,4113,2025-09-02,2025-11-30,141.0939676785105,254.7913049636248,0.9688967018564392,5.366475912041337,5.374380046157437,extratrees_tuned,non_graph,expanded_model_metrics/expanded_model_metrics.csv,20000.0,,,33.0,1.0,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}",artifacts/extratrees/potato/potato_extratrees_1d.joblib,,,,
focused_tabular,xgboost_tuned,potato,1,4113,2025-09-02,2025-11-30,134.38150553023206,262.53423694933855,0.9669775620973884,4.508072452553578,5.118697090862749,xgboost_tuned,non_graph,expanded_model_metrics/expanded_model_metrics.csv,20000.0,,,33.0,1.0,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.05, ""max_depth"": 5, ""min_child_weight"": 4, ""n_estimators"": 250, ""subsample"": 0.85}",artifacts/xgboost/potato/potato_xgboost_1d.joblib,,,,
focused_temporal,tcn_tuned,potato,1,4113,2025-09-02,2025-11-30,134.80543518066406,265.6826996155376,0.9661807417869568,4.710855484008789,5.134844779968262,tcn_tuned,non_graph,expanded_model_metrics/expanded_model_metrics.csv,,,,,2.0,"{""batch_size"": 128, ""dropout"": 0.2, ""epochs"": 10, ""hidden_channels"": 48, ""kernel_size"": 3, ""learning_rate"": 0.0007, ""weight_decay"": 1e-05, ""window_size"": 28}",artifacts/tcn/potato/potato_tcn_1d.pt,cpu,15000.0,4113.0,log_delta_current
focused_tabular,lightgbm_tuned,potato,1,4113,2025-09-02,2025-11-30,134.87508665356566,269.4732208130273,0.9652088757031424,4.555368177982231,5.13749798351642,lightgbm_tuned,non_graph,expanded_model_metrics/expanded_model_metrics.csv,20000.0,,,33.0,1.0,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": -1, ""min_child_samples"": 40, ""n_estimators"": 250, ""num_leaves"": 31, ""subsample"": 0.9}",artifacts/lightgbm/potato/potato_lightgbm_1d.joblib,,,,
baseline,current_price,potato,1,4113,2025-09-02,2025-11-30,101.79922020310896,275.05977448059855,0.9637513862770032,3.3753744817051587,3.8776122521452336,current_price,non_graph,baseline_metrics/baseline_metrics.csv,,,,,,,,,,,
baseline,current_price,potato,1,4113,2025-09-02,2025-11-30,101.79922020310896,275.05977448059855,0.9637513862770032,3.3753744817051587,3.8776122521452336,current_price,non_graph,baseline_metrics/baseline_metrics.csv,,,,,,,,,,,
tabular_variant,histgb_cross_crop_delta_current_mean_center,potato,1,4113,2025-09-02,2025-11-30,148.0735388695907,287.8553638855296,0.9603004220216536,4.94677570377242,5.640237394683826,histgb_cross_crop_delta_current_mean_center,non_graph,cross_crop_histgb_metrics/cross_crop_histgb_metrics.csv,10000.0,delta_current,series_mean_center,,,,,,,,
tabular_variant,histgb_delta_current_mean_center,potato,1,4113,2025-09-02,2025-11-30,148.38426777027,288.1329121247972,0.960223828972809,4.927782864975519,5.652073302561761,histgb_delta_current_mean_center,non_graph,anchored_histgb_metrics/anchored_histgb_metrics.csv,10000.0,delta_current,series_mean_center,,,,,,,,
simple_model,numeric_histgb_simple,potato,1,4113,2025-09-02,2025-11-30,146.60718377382943,308.6860238917159,0.9543468056380068,4.863070180156435,5.584382777389363,numeric_histgb_simple,non_graph,simple_numeric_metrics/simple_numeric_metrics.csv,20000.0,,,,,,,,,,
baseline,previous_day_price,potato,1,4113,2025-09-02,2025-11-30,134.16449958870268,317.16201346754707,0.9518052679998412,4.475320308954942,5.110431164110229,previous_day_price,non_graph,baseline_metrics/baseline_metrics.csv,,,,,,,,,,,
baseline,previous_day_price,potato,1,4113,2025-09-02,2025-11-30,134.16449958870268,317.16201346754707,0.9518052679998412,4.475320308954942,5.110431164110229,previous_day_price,non_graph,baseline_metrics/baseline_metrics.csv,,,,,,,,,,,
baseline,roll_mean_7,potato,1,4113,2025-09-02,2025-11-30,172.2375583674744,318.1551778087352,0.9515029604715384,6.170054497078513,6.560663876135485,roll_mean_7,non_graph,baseline_metrics/baseline_metrics.csv,,,,,,,,,,,
baseline,roll_mean_7,potato,1,4113,2025-09-02,2025-11-30,172.2375583674744,318.1551778087352,0.9515029604715384,6.170054497078513,6.560663876135485,roll_mean_7,non_graph,baseline_metrics/baseline_metrics.csv,,,,,,,,,,,
baseline,roll_mean_28,potato,1,4113,2025-09-02,2025-11-30,226.0212411184847,360.3902991478245,0.937772346947066,8.669552939907293,8.609326594619066,roll_mean_28,non_graph,baseline_metrics/baseline_metrics.csv,,,,,,,,,,,
baseline,roll_mean_28,potato,1,4113,2025-09-02,2025-11-30,226.0212411184847,360.3902991478245,0.937772346947066,8.669552939907293,8.609326594619066,roll_mean_28,non_graph,baseline_metrics/baseline_metrics.csv,,,,,,,,,,,
focused_temporal,tcn_tuned,tomato,1,29374,2025-10-03,2025-12-31,235.3903045654297,398.397924505136,0.9191033244132996,7.487768173217773,7.424160957336426,tcn_tuned,non_graph,expanded_model_metrics/expanded_model_metrics.csv,,,,,2.0,"{""batch_size"": 128, ""dropout"": 0.2, ""epochs"": 10, ""hidden_channels"": 48, ""kernel_size"": 3, ""learning_rate"": 0.0007, ""weight_decay"": 1e-05, ""window_size"": 28}",artifacts/tcn/tomato/tomato_tcn_1d.pt,cpu,15000.0,29374.0,log_delta_current
classical_ml,linear_regression,tomato,1,29374,2025-10-03,2025-12-31,258.3711745269611,433.33712723336953,0.9042919640544947,8.360840266773732,8.148971978444706,linear_regression,non_graph,classical_ml_metrics/classical_ml_metrics.csv,20000.0,,,33.0,,,,,,,
classical_ml,ridge_alpha_10,tomato,1,29374,2025-10-03,2025-12-31,258.34345840921384,433.3405847554963,0.9042904367726105,8.359708026561135,8.148097817976584,ridge_alpha_10,non_graph,classical_ml_metrics/classical_ml_metrics.csv,20000.0,,,33.0,,,,,,,
classical_ml,elasticnet_a001_l05,tomato,1,29374,2025-10-03,2025-12-31,259.1744619261499,434.2264762661704,0.9038987127560016,8.374436877858107,8.17430749243388,elasticnet_a001_l05,non_graph,classical_ml_metrics/classical_ml_metrics.csv,20000.0,,,33.0,,,,,,,
