experiment_family,experiment_name,crop,horizon_days,validation_rows,validation_start,validation_end,mae,rmse,r2,mape_pct,wape_pct
baseline,previous_day_price,onion,1,8678,2025-10-03,2025-12-31,152.30108213895642,284.6825741498773,0.9180348905627915,6.184554978197416,5.700328950145451
baseline,current_price,onion,1,8678,2025-10-03,2025-12-31,100.50790726016088,214.4384188162546,0.9534936294855996,3.9697313288031575,3.761812624226144
baseline,roll_mean_7,onion,1,8678,2025-10-03,2025-12-31,252.63602596248083,363.1752571868298,0.8666049358270834,10.905424582770372,9.455667894268153
baseline,roll_mean_28,onion,1,8678,2025-10-03,2025-12-31,432.81262186877944,516.0222325631546,0.7306952078267028,20.363397908459493,16.19932231457134
baseline,previous_day_price,onion,2,8412,2025-10-03,2025-12-31,175.61419703130034,309.6932901602266,0.9033199807855617,7.047015319175391,6.553431775810608
baseline,current_price,onion,2,8412,2025-10-03,2025-12-31,134.3167835221183,254.01645187742727,0.9349575597018347,5.152621295000108,5.0123275454867535
baseline,roll_mean_7,onion,2,8412,2025-10-03,2025-12-31,277.199908476851,389.83500400731,0.8468084532017643,11.84690724118285,10.344327048571175
baseline,roll_mean_28,onion,2,8412,2025-10-03,2025-12-31,438.4250778057683,522.6621710715939,0.7246308574208438,20.576138932586314,16.36080046360068
baseline,previous_day_price,onion,3,8146,2025-10-03,2025-12-31,208.21313824601086,347.16323032207674,0.8789927967105567,8.271490235337255,7.745785052869963
baseline,current_price,onion,3,8146,2025-10-03,2025-12-31,157.73479424236888,281.7844706312406,0.9202780537957672,6.018929684318296,5.867928517154792
baseline,roll_mean_7,onion,3,8146,2025-10-03,2025-12-31,301.8279165490588,416.5046193198933,0.8258259594456232,12.810084441623951,11.228370045420867
baseline,roll_mean_28,onion,3,8146,2025-10-03,2025-12-31,442.8684928698257,528.528527105644,0.7195337237723876,20.752276141232436,16.475253105330236
baseline,previous_day_price,onion,4,7880,2025-10-03,2025-12-31,233.8371508099147,372.4946892634939,0.8612387089438236,9.223570815578174,8.668002016052046
baseline,current_price,onion,4,7880,2025-10-03,2025-12-31,190.3997776931673,321.58742856211506,0.8965748195198243,7.216657203069723,7.057841969011279
baseline,roll_mean_7,onion,4,7880,2025-10-03,2025-12-31,324.84498223361544,440.31423152710477,0.8061108053976005,13.691278783767336,12.041529548032717
baseline,roll_mean_28,onion,4,7880,2025-10-03,2025-12-31,445.48622207441707,532.3235204849947,0.7166132942450103,20.83613329450889,16.513524295390663
baseline,previous_day_price,onion,5,7615,2025-10-03,2025-12-31,256.90049305177786,397.99488594014167,0.8421633304082653,10.04243413294364,9.48894311885125
baseline,current_price,onion,5,7615,2025-10-03,2025-12-31,216.44846189960433,349.01869406959736,0.8786191138684268,8.167724423815983,7.994796423820929
baseline,roll_mean_7,onion,5,7615,2025-10-03,2025-12-31,347.22681736856265,463.64136275815935,0.7858010820246608,14.543379984652857,12.825259617878496
baseline,roll_mean_28,onion,5,7615,2025-10-03,2025-12-31,446.9291583262508,535.113656434732,0.7146716043052116,20.8710133168257,16.50789109485716
baseline,previous_day_price,onion,6,7350,2025-10-03,2025-12-31,280.1691197116961,424.5226452695466,0.8210723404553125,10.88098890996571,10.307684183439028
baseline,current_price,onion,6,7350,2025-10-03,2025-12-31,239.14476191717247,375.3405299852947,0.8601293208814365,8.936702982323398,8.798359656847737
