experiment_family,experiment_name,crop,horizon_days,validation_rows,validation_start,validation_end,mae,rmse,r2,mape_pct,wape_pct,train_rows,target_mode,normalization_mode
tabular_variant,histgb_cross_crop_delta_current_mean_center,onion,1,8678,2025-10-03,2025-12-31,141.2481374127977,229.63289610334098,0.9466695238715154,5.640987886586359,5.286639041170312,10000,delta_current,series_mean_center
tabular_variant,histgb_cross_crop_delta_current_mean_center,onion,2,8412,2025-10-03,2025-12-31,211.7547941333527,309.96441800747493,0.9031506253585302,8.382016242207012,7.902098008092187,10000,delta_current,series_mean_center
tabular_variant,histgb_cross_crop_delta_current_mean_center,onion,3,8146,2025-10-03,2025-12-31,230.3338463651708,328.4185089673686,0.8917073373199745,9.156084940796896,8.568702625467337,10000,delta_current,series_mean_center
tabular_variant,histgb_cross_crop_delta_current_mean_center,onion,4,7880,2025-10-03,2025-12-31,244.8127614852177,346.01224793553354,0.880267760629178,9.879257353157714,9.074851890554088,10000,delta_current,series_mean_center
tabular_variant,histgb_cross_crop_delta_current_mean_center,onion,5,7615,2025-10-03,2025-12-31,283.0983668576616,395.49439332811676,0.8441403891107189,10.842538191578248,10.456594567962211,10000,delta_current,series_mean_center
tabular_variant,histgb_cross_crop_delta_current_mean_center,onion,6,7350,2025-10-03,2025-12-31,271.3223516594923,386.4012258216056,0.851764320405969,10.59197423259817,9.982203305246271,10000,delta_current,series_mean_center
tabular_variant,histgb_cross_crop_delta_current_mean_center,onion,7,7085,2025-10-03,2025-12-31,331.54193794668083,457.9266892487216,0.7925707802953639,12.518512625854584,12.143831473964452,10000,delta_current,series_mean_center
tabular_variant,histgb_cross_crop_delta_current_mean_center,onion,8,6821,2025-10-03,2025-12-31,365.58997593118306,484.23015262795184,0.7687179060495767,14.079073457220414,13.331094811892164,10000,delta_current,series_mean_center
tabular_variant,histgb_cross_crop_delta_current_mean_center,onion,9,6557,2025-10-03,2025-12-31,379.76380360712295,510.3401092310605,0.7435689164870762,13.953924724731015,13.781843813056083,10000,delta_current,series_mean_center
tabular_variant,histgb_cross_crop_delta_current_mean_center,onion,10,6293,2025-10-03,2025-12-31,352.32670136548836,472.5656470715615,0.7809245624793049,13.15677854674004,12.717941771451342,10000,delta_current,series_mean_center
tabular_variant,histgb_cross_crop_delta_current_mean_center,onion,11,6030,2025-10-03,2025-12-31,409.51281427696307,532.3727209220986,0.7225168268486224,15.664321268121087,14.70118300907056,10000,delta_current,series_mean_center
tabular_variant,histgb_cross_crop_delta_current_mean_center,onion,12,5766,2025-10-03,2025-12-31,422.28195637746455,549.7067602911171,0.7050513744160722,15.004027346722493,15.066864282458386,10000,delta_current,series_mean_center
tabular_variant,histgb_cross_crop_delta_current_mean_center,onion,13,5502,2025-10-03,2025-12-31,437.5457265089467,560.2309010470262,0.6945185718721296,15.819707217198358,15.511069363476324,10000,delta_current,series_mean_center
tabular_variant,histgb_cross_crop_delta_current_mean_center,onion,14,5238,2025-10-03,2025-12-31,393.05234109272567,505.02819372297336,0.7527715158344828,13.982658351848837,13.838478694805243,10000,delta_current,series_mean_center
tabular_variant,histgb_cross_crop_delta_current_mean_center,onion,15,4974,2025-10-03,2025-12-31,432.3012293956226,550.8767976178602,0.7075443801322037,15.20934192495768,15.118596487052233,10000,delta_current,series_mean_center
tabular_variant,histgb_cross_crop_delta_current_mean_center,potato,1,4113,2025-09-02,2025-11-30,148.0735388695907,287.8553638855296,0.9603004220216536,4.94677570377242,5.640237394683826,10000,delta_current,series_mean_center
tabular_variant,histgb_cross_crop_delta_current_mean_center,potato,2,3984,2025-09-02,2025-11-30,158.776180652675,289.71438026671717,0.9595672050225778,5.4815814303116435,6.053472710662025,10000,delta_current,series_mean_center
tabular_variant,histgb_cross_crop_delta_current_mean_center,potato,3,3855,2025-09-02,2025-11-30,175.3488078957833,332.4110340550348,0.946542585744653,5.9548454997982105,6.6904854812359975,10000,delta_current,series_mean_center
tabular_variant,histgb_cross_crop_delta_current_mean_center,potato,4,3726,2025-09-02,2025-11-30,198.37639758576682,343.56959499832317,0.9424966609676716,6.812097553908769,7.578445113312016,10000,delta_current,series_mean_center
tabular_variant,histgb_cross_crop_delta_current_mean_center,potato,5,3597,2025-09-02,2025-11-30,204.06097369239671,349.7095460415197,0.9399731136811214,7.116522662110111,7.804807919671632,10000,delta_current,series_mean_center
tabular_variant,histgb_cross_crop_delta_current_mean_center,potato,6,3468,2025-09-02,2025-11-30,206.24571030894344,361.1244408749111,0.9355535902117619,7.398010763082359,7.896455211744227,10000,delta_current,series_mean_center
