experiment_family,experiment_name,crop,horizon_days,validation_rows,validation_start,validation_end,mae,rmse,r2,mape_pct,wape_pct,source_file,train_rows,target_mode,normalization_mode,threshold_km,alpha,graph_mode,correction_scale,best_alpha,train_windows,validation_windows,sweep,config_name,display_name,graph_bucket
baseline,previous_day_price,onion,15,4974.0,2025-10-03,2025-12-31,480.477118975317,601.9219271004515,0.6508344898571525,17.20330133545328,16.803421293075697,baseline_metrics/baseline_metrics.csv,,,,,,,,,,,,,previous_day_price,non_graph
baseline,current_price,onion,15,4974.0,2025-10-03,2025-12-31,449.0600761517696,579.6543313417675,0.6761908022971418,15.641935624806072,15.704692996767818,baseline_metrics/baseline_metrics.csv,,,,,,,,,,,,,current_price,non_graph
baseline,roll_mean_7,onion,15,4974.0,2025-10-03,2025-12-31,490.0270401073281,589.842641602759,0.6647078840258532,18.618629140304144,17.137404622893886,baseline_metrics/baseline_metrics.csv,,,,,,,,,,,,,roll_mean_7,non_graph
baseline,roll_mean_28,onion,15,4974.0,2025-10-03,2025-12-31,387.3250903099382,479.0784306995141,0.7788106326779047,17.551171290469146,13.54567452397422,baseline_metrics/baseline_metrics.csv,,,,,,,,,,,,,roll_mean_28,non_graph
baseline,previous_day_price,potato,15,2307.0,2025-09-02,2025-11-30,263.75484506353865,460.167943723461,0.8936931006732123,10.40998380519585,10.122965268081574,baseline_metrics/baseline_metrics.csv,,,,,,,,,,,,,previous_day_price,non_graph
baseline,current_price,potato,15,2307.0,2025-09-02,2025-11-30,257.8158372427346,455.7993839835801,0.8957019482708398,10.108654775449889,9.895024924910317,baseline_metrics/baseline_metrics.csv,,,,,,,,,,,,,current_price,non_graph
baseline,roll_mean_7,potato,15,2307.0,2025-09-02,2025-11-30,249.8078190449467,389.6992986751351,0.9237591066322696,10.12742464910174,9.58767553740298,baseline_metrics/baseline_metrics.csv,,,,,,,,,,,,,roll_mean_7,non_graph
baseline,roll_mean_28,potato,15,2307.0,2025-09-02,2025-11-30,245.19528588266448,363.75415611887234,0.93357299735967,9.995508662252131,9.41064556478424,baseline_metrics/baseline_metrics.csv,,,,,,,,,,,,,roll_mean_28,non_graph
baseline,previous_day_price,tomato,15,24442.0,2025-10-03,2025-12-31,861.5590393089818,1246.9556242935823,0.2587687991778459,24.712463516736012,25.88612381213749,baseline_metrics/baseline_metrics.csv,,,,,,,,,,,,,previous_day_price,non_graph
baseline,current_price,tomato,15,24442.0,2025-10-03,2025-12-31,848.5406227231013,1230.0761870235328,0.278700356963077,24.389331836085823,25.494976684425417,baseline_metrics/baseline_metrics.csv,,,,,,,,,,,,,current_price,non_graph
baseline,roll_mean_7,tomato,15,24442.0,2025-10-03,2025-12-31,825.8928337148412,1190.276157003732,0.3246216055535157,23.420309637860797,24.81450855213212,baseline_metrics/baseline_metrics.csv,,,,,,,,,,,,,roll_mean_7,non_graph
baseline,roll_mean_28,tomato,15,24442.0,2025-10-03,2025-12-31,772.5399782737509,1141.2791889268422,0.3790802254270021,21.547978792174877,23.2114859400232,baseline_metrics/baseline_metrics.csv,,,,,,,,,,,,,roll_mean_28,non_graph
baseline,previous_day_price,wheat,15,288.0,2025-09-02,2025-11-30,41.64865260708464,69.82362837694926,0.6208861898346404,1.6545297164684143,1.6455989087909708,baseline_metrics/baseline_metrics.csv,,,,,,,,,,,,,previous_day_price,non_graph
baseline,current_price,wheat,15,288.0,2025-09-02,2025-11-30,38.82698702892684,65.82790637892286,0.6630349452407603,1.548591066122846,1.534110793192252,baseline_metrics/baseline_metrics.csv,,,,,,,,,,,,,current_price,non_graph
baseline,roll_mean_7,wheat,15,288.0,2025-09-02,2025-11-30,40.920274098628525,65.5036153673489,0.6663467800509517,1.622600357448939,1.6168196133354846,baseline_metrics/baseline_metrics.csv,,,,,,,,,,,,,roll_mean_7,non_graph
baseline,roll_mean_28,wheat,15,288.0,2025-09-02,2025-11-30,59.5915212860406,80.39118494957178,0.4974472671930505,2.3382492858083825,2.3545477767706027,baseline_metrics/baseline_metrics.csv,,,,,,,,,,,,,roll_mean_28,non_graph
simple_model,numeric_histgb_simple,onion,15,4974.0,2025-10-03,2025-12-31,841.6380864259127,1045.5341624943928,-0.0534828390574886,27.359712991464452,29.434074556293663,simple_numeric_metrics/simple_numeric_metrics.csv,20000.0,,,,,,,,,,,,numeric_histgb_simple,non_graph
simple_model,numeric_histgb_simple,potato,15,2307.0,2025-09-02,2025-11-30,258.01347740754466,442.46797382986864,0.9017138301136768,10.031287667074508,9.9026103951354,simple_numeric_metrics/simple_numeric_metrics.csv,20000.0,,,,,,,,,,,,numeric_histgb_simple,non_graph
