crop,horizon_days,target_mode,graph_mode,correction_scale,best_alpha,train_windows,validation_windows,validation_start,validation_end,mae,rmse,r2,wape_pct,target_mode_expected,geo_radius_km,config_name
onion,15,delta_roll28,full_graph,0.25,0.8500000000000001,795,19,2025-10-03,2025-12-31,355.7626037597656,440.3493286585095,0.813127338886261,12.441861152648926,delta_roll28,75,onion__radius_75km
onion,15,delta_roll28,full_graph,0.25,0.8500000000000001,795,19,2025-10-03,2025-12-31,356.06439208984375,440.65452028771927,0.8128682374954224,12.452414512634277,delta_roll28,150,onion__radius_150km
onion,15,delta_roll28,full_graph,0.25,0.8500000000000001,795,19,2025-10-03,2025-12-31,356.7278137207031,441.5465894161113,0.8121098279953003,12.475616455078125,delta_roll28,300,onion__radius_300km
potato,15,delta_roll28,full_graph,0.25,0.55,802,18,2025-09-02,2025-11-30,239.3324737548828,351.5638277752704,0.9379506707191467,9.185628890991211,delta_roll28,75,potato__radius_75km
potato,15,delta_roll28,full_graph,0.25,0.55,802,18,2025-09-02,2025-11-30,239.39195251464844,351.53263762060556,0.9379616975784302,9.187912940979004,delta_roll28,150,potato__radius_150km
potato,15,delta_roll28,full_graph,0.25,0.55,802,18,2025-09-02,2025-11-30,239.48228454589844,351.43949514816916,0.9379945397377014,9.191378593444824,delta_roll28,300,potato__radius_300km
tomato,15,delta_roll28,full_graph,0.25,0.2,758,75,2025-10-03,2025-12-31,763.518798828125,1130.064599923385,0.39122313261032104,22.940439224243164,delta_roll28,75,tomato__radius_75km
tomato,15,delta_roll28,full_graph,0.25,0.2,758,75,2025-10-03,2025-12-31,763.6800537109375,1130.3152768143939,0.3909529447555542,22.94528579711914,delta_roll28,150,tomato__radius_150km
tomato,15,delta_roll28,full_graph,0.25,0.2,758,75,2025-10-03,2025-12-31,763.9550170898438,1130.7005571768327,0.39053773880004883,22.95354652404785,delta_roll28,300,tomato__radius_300km
wheat,15,delta_current,full_graph,0.25,0.65,786,18,2025-09-02,2025-11-30,40.526851654052734,63.210670516832046,0.6892966032028198,1.601274847984314,delta_current,75,wheat__radius_75km
wheat,15,delta_current,full_graph,0.25,0.65,786,18,2025-09-02,2025-11-30,40.51601791381836,63.19867104207473,0.6894145607948303,1.6008468866348267,delta_current,150,wheat__radius_150km
wheat,15,delta_current,full_graph,0.25,0.65,786,18,2025-09-02,2025-11-30,40.52412414550781,63.19372032933731,0.6894632577896118,1.6011669635772705,delta_current,300,wheat__radius_300km
