crop,series_id,Commodity,State,District,Market,latitude,longitude,mean_arrival,std_arrival,mean_price,neighbor_degree_75km,neighbor_degree_150km,neighbor_degree_300km,density_bucket,volume_bucket
onion,Onion||Andhra Pradesh||Kurnool||Pattikonda APMC,Onion,Andhra Pradesh,Kurnool,Pattikonda APMC,15.830925100000002,78.0425373,1.0,0.0,3197.4897727703396,0,3,10,sparse,low
onion,Onion||Bihar||Banka||Barahat APMC,Onion,Bihar,Banka,Barahat APMC,24.8328273,86.8161114,4.006662458158273,0.050282546962636364,3517.009070067955,1,13,61,sparse,medium
onion,Onion||Bihar||Bhojpur||Piro APMC,Onion,Bihar,Bhojpur,Piro APMC,25.4501182,84.5635193,7.555268042629924,1.4748914655480567,3015.441845592531,5,12,37,sparse,medium
onion,Onion||Bihar||Jamui||Jamui APMC,Onion,Bihar,Jamui,Jamui APMC,24.7562514,86.3011128,9.73888227388783,1.2833583108991409,2768.07756496432,1,4,52,sparse,medium
onion,"Onion||Bihar||Kaithar||Gerabari, Korha Block APMC",Onion,Bihar,Kaithar,"Gerabari, Korha Block APMC",25.6440845,85.906508,3.2806197536540846,0.6866260769260907,3737.8537148747955,1,9,40,sparse,medium
onion,Onion||Bihar||Kishanganj||Bahadurganj APMC,Onion,Bihar,Kishanganj,Bahadurganj APMC,26.2984144,87.9466715,3.9217108226295028,2.044685277995735,2751.0377813876185,0,12,30,sparse,medium
onion,Onion||Bihar||Madhepura||Murliganj APMC,Onion,Bihar,Madhepura,Murliganj APMC,25.7806118,86.9364753,1.1725919461952854,0.13348055619530544,2787.793847761482,0,10,45,sparse,low
onion,Onion||Bihar||Madhubani||Jahajharpur APMC,Onion,Bihar,Madhubani,Jahajharpur APMC,26.3503076,86.2296424,3.6804858878001796,1.2928581880554808,3014.7235753961604,2,6,35,sparse,medium
onion,Onion||Bihar||Madhubani||Jainagar APMC,Onion,Bihar,Madhubani,Jainagar APMC,26.3503076,86.2296424,1.3576103240616049,0.9795866489782079,3435.2889761441425,2,6,35,sparse,medium
onion,Onion||Bihar||Patna||Danapur APMC,Onion,Bihar,Patna,Danapur APMC,25.6093239,85.1235252,34.46912747647997,1.567239918575179,3541.814433474392,1,11,35,sparse,high
onion,Onion||Bihar||Rohtas||Sasaram APMC,Onion,Bihar,Rohtas,Sasaram APMC,24.9394143,84.0197031,5.840455703247953,1.4853964591419206,2882.182872438415,0,13,39,sparse,medium
onion,Onion||Bihar||Samastipur||Tajpur APMC,Onion,Bihar,Samastipur,Tajpur APMC,25.7747885,85.8672314,2.0,0.0,2902.2299464314383,3,9,39,sparse,medium
onion,Onion||Bihar||Sheohar||Sheohar APMC,Onion,Bihar,Sheohar,Sheohar APMC,26.4934234,85.2717561,1.4669864508776638,1.1696744432794282,3085.878207987528,0,10,28,sparse,medium
onion,Onion||Chandigarh||Chandigarh||Chandigarh(Grain/Fruit) APMC,Onion,Chandigarh,Chandigarh,Chandigarh(Grain/Fruit) APMC,30.7334421,76.7797143,223.4391977158027,107.5851812026418,2065.1092141673007,18,73,172,dense,high
onion,Onion||Chattisgarh||Bilaspur||Tiphra APMC,Onion,Chattisgarh,Bilaspur,Tiphra APMC,22.1638486,82.1365923,86.56453064644043,23.298927288332195,1993.4588206665633,0,2,16,sparse,high
onion,Onion||Chattisgarh||Durg||Durg APMC,Onion,Chattisgarh,Durg,Durg APMC,21.1982964,81.4007922,9.88386499369189,7.838665336099893,2552.0864167831746,1,4,17,sparse,medium
