crop,State,mandis
onion,Uttar Pradesh,170
onion,Tamil Nadu,155
onion,Haryana,56
onion,Punjab,54
onion,West Bengal,53
onion,Kerala,50
onion,Madhya Pradesh,42
onion,Maharashtra,39
onion,Rajasthan,24
onion,Odisha,23
onion,Gujarat,20
onion,Himachal Pradesh,15
onion,Bihar,12
onion,Uttarakhand,10
onion,Tripura,9
onion,Karnataka,8
onion,Telangana,8
onion,Jammu and Kashmir,6
onion,Chattisgarh,4
onion,NCT of Delhi,2
onion,Nagaland,1
onion,Goa,1
onion,Chandigarh,1
onion,Andhra Pradesh,1
potato,Uttar Pradesh,182
potato,West Bengal,68
potato,Haryana,63
potato,Punjab,59
potato,Tamil Nadu,55
potato,Kerala,51
potato,Madhya Pradesh,35
potato,Odisha,29
potato,Rajasthan,25
potato,Tripura,24
potato,Maharashtra,21
potato,Gujarat,20
potato,Himachal Pradesh,16
potato,Bihar,13
potato,Uttarakhand,13
potato,Telangana,11
potato,Karnataka,10
potato,Jammu and Kashmir,5
potato,Chattisgarh,4
potato,Nagaland,3
potato,NCT of Delhi,2
potato,Meghalaya,1
potato,Goa,1
potato,Chandigarh,1
potato,Andhra Pradesh,1
tomato,Uttar Pradesh,165
tomato,Tamil Nadu,82
tomato,Kerala,57
tomato,Haryana,55
tomato,Punjab,52
tomato,West Bengal,39
tomato,Maharashtra,33
tomato,Odisha,32
tomato,Madhya Pradesh,31
tomato,Rajasthan,29
tomato,Gujarat,24
tomato,Karnataka,22
tomato,Himachal Pradesh,17
tomato,Telangana,16
tomato,Uttarakhand,13
tomato,Tripura,9
tomato,Andhra Pradesh,7
tomato,Chattisgarh,4
tomato,Jammu and Kashmir,3
tomato,NCT of Delhi,2
tomato,Chandigarh,1
wheat,Madhya Pradesh,167
wheat,Uttar Pradesh,145
wheat,Gujarat,48
wheat,Rajasthan,48
wheat,Maharashtra,42
wheat,West Bengal,12
wheat,Karnataka,5
wheat,Chattisgarh,3
wheat,Bihar,2
wheat,NCT of Delhi,2
wheat,Uttarakhand,1
