experiment_family,experiment_name,crop,horizon_days,validation_rows,validation_start,validation_end,mae,rmse,r2,mape_pct,wape_pct,train_rows
simple_model,numeric_histgb_simple,onion,1,8678,2025-10-03,2025-12-31,155.30211544267533,237.0422499077946,0.9431724705030643,6.5114714387261765,5.812651704398316,5000
simple_model,numeric_histgb_simple,onion,7,7085,2025-10-03,2025-12-31,498.92914317460486,648.1436457448534,0.5844526121638626,17.60511747932467,18.274947265151983,5000
simple_model,numeric_histgb_simple,onion,15,4974,2025-10-03,2025-12-31,822.578091843272,1013.0952745795827,0.010874065254669496,26.552447524985002,28.76750146432442,5000
simple_model,numeric_histgb_simple,potato,1,4113,2025-09-02,2025-11-30,229.7728354265155,564.4257846423147,0.8473661257588573,6.798992326650009,8.752227768369455,5000
simple_model,numeric_histgb_simple,potato,7,3339,2025-09-02,2025-11-30,282.3434914082829,565.6421776015609,0.8406950150355297,9.317784835453882,10.821979692165932,5000
simple_model,numeric_histgb_simple,potato,15,2307,2025-09-02,2025-11-30,338.39687201516796,633.2783525966612,0.7986655866064702,11.715533226232408,12.987741633378402,5000
simple_model,numeric_histgb_simple,tomato,1,29374,2025-10-03,2025-12-31,262.6193175189188,451.50982297831786,0.8960963005656346,8.408552392917953,8.28295750630117,5000
simple_model,numeric_histgb_simple,tomato,7,27206,2025-10-03,2025-12-31,595.0457659007982,863.4885084627017,0.6318969875311912,17.46768716569587,18.41748098396581,5000
simple_model,numeric_histgb_simple,tomato,15,24442,2025-10-03,2025-12-31,944.0658618985506,1298.5023836247597,0.19621999674889945,26.422296274075123,28.36509707740862,5000
simple_model,numeric_histgb_simple,wheat,1,528,2025-09-02,2025-11-30,33.3400157769964,51.9892002065711,0.7797562619762792,1.3166451784556235,1.3143902023084293,5000
simple_model,numeric_histgb_simple,wheat,7,416,2025-09-02,2025-11-30,42.509004486613506,61.64258774316255,0.7080239418878467,1.6814237415412665,1.6778703960829522,5000
simple_model,numeric_histgb_simple,wheat,15,288,2025-09-02,2025-11-30,56.27357932021364,76.08314447965692,0.5498661369071205,2.241149088891569,2.223451058470817,5000
